Date,Retail Gasoline Prices Dollars per Gallon
08/29/2022,3.827
08/22/2022,3.88
08/15/2022,3.938
08/8/2022,4.038
08/1/2022,4.192
07/25/2022,4.33
07/18/2022,4.49
07/11/2022,4.646
07/4/2022,4.771
06/27/2022,4.872
06/20/2022,4.962
06/13/2022,5.006
06/6/2022,4.876
05/30/2022,4.624
05/23/2022,4.593
05/16/2022,4.491
05/9/2022,4.328
05/2/2022,4.182
04/25/2022,4.107
04/18/2022,4.066
04/11/2022,4.091
04/4/2022,4.17
03/28/2022,4.231
03/21/2022,4.239
03/14/2022,4.315
03/7/2022,4.102
02/28/2022,3.608
02/21/2022,3.53
02/14/2022,3.487
02/7/2022,3.444
01/31/2022,3.368
01/24/2022,3.323
01/17/2022,3.306
01/10/2022,3.295
01/3/2022,3.281
12/27/2021,3.275
12/20/2021,3.295
12/13/2021,3.315
12/6/2021,3.341
11/29/2021,3.38
11/22/2021,3.395
11/15/2021,3.399
11/8/2021,3.41
11/1/2021,3.39
10/25/2021,3.383
10/18/2021,3.322
10/11/2021,3.267
10/4/2021,3.19
09/27/2021,3.175
09/20/2021,3.184
09/13/2021,3.165
09/6/2021,3.176
08/30/2021,3.139
08/23/2021,3.145
08/16/2021,3.174
08/9/2021,3.172
08/2/2021,3.159
07/26/2021,3.136
07/19/2021,3.153
07/12/2021,3.133
07/5/2021,3.122
06/28/2021,3.091
06/21/2021,3.06
06/14/2021,3.069
06/7/2021,3.035
05/31/2021,3.027
05/24/2021,3.02
05/17/2021,3.028
05/10/2021,2.961
05/3/2021,2.89
04/26/2021,2.872
04/19/2021,2.855
04/12/2021,2.849
04/5/2021,2.857
03/29/2021,2.852
03/22/2021,2.865
03/15/2021,2.853
03/8/2021,2.771
03/1/2021,2.711
02/22/2021,2.633
02/15/2021,2.501
02/8/2021,2.461
02/1/2021,2.409
01/25/2021,2.392
01/18/2021,2.379
01/11/2021,2.317
01/4/2021,2.249
12/28/2020,2.243
12/21/2020,2.224
12/14/2020,2.158
12/7/2020,2.156
11/30/2020,2.12
11/23/2020,2.102
11/16/2020,2.111
11/9/2020,2.096
11/2/2020,2.112
10/26/2020,2.143
10/19/2020,2.15
10/12/2020,2.167
10/5/2020,2.172
09/28/2020,2.169
09/21/2020,2.168
09/14/2020,2.183
09/7/2020,2.211
08/31/2020,2.222
08/24/2020,2.182
08/17/2020,2.166
08/10/2020,2.166
08/3/2020,2.176
07/27/2020,2.175
07/20/2020,2.186
07/13/2020,2.195
07/6/2020,2.177
06/29/2020,2.174
06/22/2020,2.129
06/15/2020,2.098
06/8/2020,2.036
06/1/2020,1.974
05/25/2020,1.96
05/18/2020,1.878
05/11/2020,1.851
05/4/2020,1.789
04/27/2020,1.773
04/20/2020,1.812
04/13/2020,1.853
04/6/2020,1.924
03/30/2020,2.005
03/23/2020,2.12
03/16/2020,2.248
03/9/2020,2.375
03/2/2020,2.423
02/24/2020,2.466
02/17/2020,2.428
02/10/2020,2.419
02/3/2020,2.455
01/27/2020,2.506
01/20/2020,2.537
01/13/2020,2.57
01/6/2020,2.578
12/30/2019,2.571
12/23/2019,2.532
12/16/2019,2.536
12/9/2019,2.561
12/2/2019,2.575
11/25/2019,2.579
11/18/2019,2.592
11/11/2019,2.615
11/4/2019,2.605
10/28/2019,2.596
10/21/2019,2.638
10/14/2019,2.629
10/7/2019,2.645
09/30/2019,2.642
09/23/2019,2.654
09/16/2019,2.552
09/9/2019,2.55
09/2/2019,2.563
08/26/2019,2.574
08/19/2019,2.598
08/12/2019,2.624
08/5/2019,2.688
07/29/2019,2.715
07/22/2019,2.75
07/15/2019,2.779
07/8/2019,2.743
07/1/2019,2.713
06/24/2019,2.654
06/17/2019,2.67
06/10/2019,2.732
06/3/2019,2.807
05/27/2019,2.822
05/20/2019,2.852
05/13/2019,2.866
05/6/2019,2.897
04/29/2019,2.887
04/22/2019,2.841
04/15/2019,2.828
04/8/2019,2.745
04/1/2019,2.691
03/25/2019,2.623
03/18/2019,2.548
03/11/2019,2.471
03/4/2019,2.422
02/25/2019,2.39
02/18/2019,2.317
02/11/2019,2.276
02/4/2019,2.254
01/28/2019,2.256
01/21/2019,2.251
01/14/2019,2.247
01/7/2019,2.237
12/31/2018,2.266
12/24/2018,2.321
12/17/2018,2.369
12/10/2018,2.421
12/3/2018,2.451
11/26/2018,2.539
11/19/2018,2.611
11/12/2018,2.686
11/5/2018,2.753
10/29/2018,2.811
10/22/2018,2.841
10/15/2018,2.879
10/8/2018,2.903
10/1/2018,2.866
09/24/2018,2.844
09/17/2018,2.841
09/10/2018,2.833
09/3/2018,2.824
08/27/2018,2.827
08/20/2018,2.821
08/13/2018,2.843
08/6/2018,2.852
07/30/2018,2.846
07/23/2018,2.831
07/16/2018,2.865
07/9/2018,2.857
07/2/2018,2.844
06/25/2018,2.833
06/18/2018,2.879
06/11/2018,2.911
06/4/2018,2.94
05/28/2018,2.962
05/21/2018,2.923
05/14/2018,2.873
05/7/2018,2.845
04/30/2018,2.846
04/23/2018,2.798
04/16/2018,2.747
04/9/2018,2.694
04/2/2018,2.7
03/26/2018,2.648
03/19/2018,2.598
03/12/2018,2.559
03/5/2018,2.56
02/26/2018,2.548
02/19/2018,2.557
02/12/2018,2.607
02/5/2018,2.637
01/29/2018,2.607
01/22/2018,2.567
01/15/2018,2.557
01/8/2018,2.522
01/1/2018,2.52
12/25/2017,2.472
12/18/2017,2.45
12/11/2017,2.485
12/4/2017,2.5
11/27/2017,2.533
11/20/2017,2.568
11/13/2017,2.592
11/6/2017,2.561
10/30/2017,2.488
10/23/2017,2.479
10/16/2017,2.489
10/9/2017,2.504
10/2/2017,2.565
09/25/2017,2.583
09/18/2017,2.634
09/11/2017,2.685
09/4/2017,2.679
08/28/2017,2.399
08/21/2017,2.36
08/14/2017,2.384
08/7/2017,2.378
07/31/2017,2.352
07/24/2017,2.312
07/17/2017,2.278
07/10/2017,2.297
07/3/2017,2.26
06/26/2017,2.288
06/19/2017,2.318
06/12/2017,2.366
06/5/2017,2.414
05/29/2017,2.406
05/22/2017,2.399
05/15/2017,2.369
05/8/2017,2.372
05/1/2017,2.411
04/24/2017,2.449
04/17/2017,2.436
04/10/2017,2.424
04/3/2017,2.36
03/27/2017,2.315
03/20/2017,2.321
03/13/2017,2.323
03/6/2017,2.341
02/27/2017,2.314
02/20/2017,2.302
02/13/2017,2.307
02/6/2017,2.293
01/30/2017,2.296
01/23/2017,2.326
01/16/2017,2.358
01/9/2017,2.388
01/2/2017,2.377
12/26/2016,2.309
12/19/2016,2.264
12/12/2016,2.236
12/5/2016,2.208
11/28/2016,2.154
11/21/2016,2.155
11/14/2016,2.184
11/7/2016,2.233
10/31/2016,2.23
10/24/2016,2.243
10/17/2016,2.257
10/10/2016,2.272
10/3/2016,2.245
09/26/2016,2.224
09/19/2016,2.225
09/12/2016,2.202
09/5/2016,2.223
08/29/2016,2.237
08/22/2016,2.193
08/15/2016,2.149
08/8/2016,2.15
08/1/2016,2.159
07/25/2016,2.182
07/18/2016,2.23
07/11/2016,2.253
07/4/2016,2.291
06/27/2016,2.329
06/20/2016,2.353
06/13/2016,2.399
06/6/2016,2.381
05/30/2016,2.339
05/23/2016,2.3
05/16/2016,2.242
05/9/2016,2.22
05/2/2016,2.24
04/25/2016,2.162
04/18/2016,2.137
04/11/2016,2.069
04/4/2016,2.083
03/28/2016,2.066
03/21/2016,2.007
03/14/2016,1.961
03/7/2016,1.841
02/29/2016,1.783
02/22/2016,1.73
02/15/2016,1.724
02/8/2016,1.759
02/1/2016,1.822
01/25/2016,1.856
01/18/2016,1.914
01/11/2016,1.996
01/4/2016,2.028
12/28/2015,2.034
12/21/2015,2.026
12/14/2015,2.037
12/7/2015,2.053
11/30/2015,2.059
11/23/2015,2.094
11/16/2015,2.178
11/9/2015,2.235
11/2/2015,2.224
10/26/2015,2.228
10/19/2015,2.277
10/12/2015,2.337
10/5/2015,2.318
09/28/2015,2.322
09/21/2015,2.327
09/14/2015,2.375
09/7/2015,2.437
08/31/2015,2.51
08/24/2015,2.637
08/17/2015,2.716
08/10/2015,2.629
08/3/2015,2.689
07/27/2015,2.745
07/20/2015,2.802
07/13/2015,2.834
07/6/2015,2.793
06/29/2015,2.801
06/22/2015,2.812
06/15/2015,2.835
06/8/2015,2.78
06/1/2015,2.78
05/25/2015,2.774
05/18/2015,2.744
05/11/2015,2.691
05/4/2015,2.664
04/27/2015,2.57
04/20/2015,2.485
04/13/2015,2.408
04/6/2015,2.413
03/30/2015,2.448
03/23/2015,2.457
03/16/2015,2.453
03/9/2015,2.487
03/2/2015,2.473
02/23/2015,2.332
02/16/2015,2.274
02/9/2015,2.191
02/2/2015,2.068
01/26/2015,2.044
01/19/2015,2.066
01/12/2015,2.139
01/5/2015,2.214
12/29/2014,2.299
12/22/2014,2.403
12/15/2014,2.554
12/8/2014,2.679
12/1/2014,2.778
11/24/2014,2.821
11/17/2014,2.894
11/10/2014,2.941
11/3/2014,2.993
10/27/2014,3.056
10/20/2014,3.12
10/13/2014,3.207
10/6/2014,3.299
09/29/2014,3.354
09/22/2014,3.353
09/15/2014,3.408
09/8/2014,3.457
09/1/2014,3.459
08/25/2014,3.454
08/18/2014,3.472
08/11/2014,3.505
08/4/2014,3.515
07/28/2014,3.539
07/21/2014,3.593
07/14/2014,3.635
07/7/2014,3.678
06/30/2014,3.704
06/23/2014,3.704
06/16/2014,3.686
06/9/2014,3.674
06/2/2014,3.69
05/26/2014,3.674
05/19/2014,3.665
05/12/2014,3.668
05/5/2014,3.684
04/28/2014,3.713
04/21/2014,3.683
04/14/2014,3.651
04/7/2014,3.596
03/31/2014,3.579
03/24/2014,3.549
03/17/2014,3.547
03/10/2014,3.512
03/3/2014,3.479
02/24/2014,3.444
02/17/2014,3.38
02/10/2014,3.309
02/3/2014,3.292
01/27/2014,3.295
01/20/2014,3.296
01/13/2014,3.327
01/6/2014,3.332
12/30/2013,3.331
12/23/2013,3.271
12/16/2013,3.239
12/9/2013,3.269
12/2/2013,3.272
11/25/2013,3.293
11/18/2013,3.219
11/11/2013,3.194
11/4/2013,3.265
10/28/2013,3.294
10/21/2013,3.36
10/14/2013,3.354
10/7/2013,3.367
09/30/2013,3.425
09/23/2013,3.495
09/16/2013,3.547
09/9/2013,3.587
09/2/2013,3.608
08/26/2013,3.552
08/19/2013,3.55
08/12/2013,3.561
08/5/2013,3.632
07/29/2013,3.646
07/22/2013,3.682
07/15/2013,3.639
07/8/2013,3.492
07/1/2013,3.496
06/24/2013,3.577
06/17/2013,3.626
06/10/2013,3.655
06/3/2013,3.646
05/27/2013,3.645
05/20/2013,3.673
05/13/2013,3.603
05/6/2013,3.538
04/29/2013,3.52
04/22/2013,3.536
04/15/2013,3.542
04/8/2013,3.608
04/1/2013,3.645
03/25/2013,3.68
03/18/2013,3.696
03/11/2013,3.71
03/4/2013,3.759
02/25/2013,3.784
02/18/2013,3.747
02/11/2013,3.611
02/4/2013,3.538
01/28/2013,3.357
01/21/2013,3.315
01/14/2013,3.303
01/7/2013,3.299
12/31/2012,3.298
12/24/2012,3.257
12/17/2012,3.254
12/10/2012,3.349
12/3/2012,3.394
11/26/2012,3.437
11/19/2012,3.429
11/12/2012,3.449
11/5/2012,3.492
10/29/2012,3.568
10/22/2012,3.687
10/15/2012,3.819
10/8/2012,3.85
10/1/2012,3.804
09/24/2012,3.826
09/17/2012,3.878
09/10/2012,3.847
09/3/2012,3.843
08/27/2012,3.776
08/20/2012,3.744
08/13/2012,3.721
08/6/2012,3.645
07/30/2012,3.508
07/23/2012,3.494
07/16/2012,3.427
07/9/2012,3.411
07/2/2012,3.356
06/25/2012,3.437
06/18/2012,3.533
06/11/2012,3.572
06/4/2012,3.613
05/28/2012,3.67
05/21/2012,3.715
05/14/2012,3.754
05/7/2012,3.79
04/30/2012,3.83
04/23/2012,3.87
04/16/2012,3.922
04/9/2012,3.939
04/2/2012,3.941
03/26/2012,3.918
03/19/2012,3.867
03/12/2012,3.829
03/5/2012,3.793
02/27/2012,3.721
02/20/2012,3.591
02/13/2012,3.523
02/6/2012,3.482
01/30/2012,3.439
01/23/2012,3.389
01/16/2012,3.391
01/9/2012,3.382
01/2/2012,3.299
